"Sample IDs","Dilutions","MPR","MS","TtT","RAF"
"N",-3,1.06204379562044,0.170316533333333,72,0.0138888888888889
"56",-1,1.15579710144928,0.199677733333333,72,0.0138888888888889
"57",-1,1.10144927536232,0.207729466666667,72,0.0138888888888889
"58",-1,5.87912087912088,1.27635328888889,44.9434673366834,0.0222501747030049
"59",-1,1.24074074074074,0.230452844444444,72,0.0138888888888889
"60",-1,1.10469314079422,0.211792888888889,72,0.0138888888888889
"61",-1,1.14233576642336,0.220600222222222,72,0.0138888888888889
"62",-1,1.23239436619718,0.215962622222222,72,0.0138888888888889
"63",-1,1.09540636042403,0.204161644444444,72,0.0138888888888889
"64",-1,1.07446808510638,0.197005644444444,72,0.0138888888888889
"65",-1,1.08394160583942,0.2011356,72,0.0138888888888889
"66",-1,1.09057971014493,0.178744044444444,72,0.0138888888888889
"P",-3,11.5879120879121,3.84981684444444,12.7290940766551,0.0785601861356327
"67",-1,1.18306010928962,0.212507511111111,72,0.0138888888888889
"68",-1,1.12432432432432,0.203002933333333,72,0.0138888888888889
"69",-1,1.0978835978836,0.192827555555556,72,0.0138888888888889
"70",-1,1.14705882352941,0.211527022222222,72,0.0138888888888889
"71",-1,1.17060367454068,0.187809777777778,72,0.0138888888888889
"72",-1,1.12694300518135,0.185377244444444,72,0.0138888888888889
"73",-1,1.12365591397849,0.204301288888889,72,0.0138888888888889
"74",-1,1.16010498687664,0.1959756,72,0.0138888888888889
"75",-1,1.19241192411924,0.195121822222222,72,0.0138888888888889
"76",-1,1.16201117318436,0.199876,72,0.0138888888888889
"77",-1,1.14705882352941,0.199643333333333,72,0.0138888888888889
"P",-3,6.4353562005277,1.72148928888889,10.5842939481268,0.0944796133687292
"67",-1,1.14824797843666,0.219227466666667,72,0.0138888888888889
"68",-1,1.13984168865435,0.214599866666667,72,0.0138888888888889
"69",-1,1.12953367875648,0.2164652,72,0.0138888888888889
"70",-1,3.17737789203085,0.6501,37.7975806451613,0.0264567197934669
"71",-1,1.13670886075949,0.217158755555556,72,0.0138888888888889
"72",-1,1.14758269720102,0.203562444444444,72,0.0138888888888889
"73",-1,1.16752577319588,0.205040266666667,72,0.0138888888888889
"74",-1,1.09651474530831,0.196604222222222,72,0.0138888888888889
"75",-1,1.11025641025641,0.218803466666667,72,0.0138888888888889
"76",-1,1.2020725388601,0.207253777777778,72,0.0138888888888889
"77",-1,1.16847826086957,0.217391511111111,72,0.0138888888888889
"P",-3,7.76353276353276,2.7059196,13.7459415584416,0.0727487452022439
"67",-1,1.11082474226804,0.210767644444444,72,0.0138888888888889
"68",-1,1.09319899244332,0.2160648,72,0.0138888888888889
"69",-1,1.12886597938144,0.209621866666667,72,0.0138888888888889
"70",-1,1.14321608040201,0.207705066666667,72,0.0138888888888889
